Campaign_ID,Platform,Objective,CTR_est,CPC_est,Historical_CPC,Historical_ConvRate,Historical_Budget,Best_Source_Score,Leads_Forward,Leads_Rejected,Qualification_Rate,Active_Leads,Suggested_Budget
1,Google,Awareness,0.031,2.78,1.77,0.058,351,0.56,0,8,0.43,32,122
2,TikTok,Awareness,0.034,1.14,1.87,0.051,378,0.84,0,8,0.89,15,148
3,Facebook,Traffic,0.024,2.19,1.33,0.088,137,0.85,15,8,0.39,11,103
4,Facebook,Conversions,0.047,2.29,1.79,0.119,380,0.92,0,6,0.4,14,143
5,Facebook,Traffic,0.031,2.2,0.87,0.09,204,0.55,12,5,0.91,31,120
6,Facebook,Conversions,0.047,2.66,2.19,0.041,159,0.87,10,5,0.66,10,107
7,TikTok,Awareness,0.03,2.09,2.07,0.033,409,0.52,6,1,0.89,41,170
8,Facebook,Traffic,0.046,1.47,1.22,0.061,212,0.62,15,8,0.9,13,129
9,Google,Awareness,0.038,1.48,1.76,0.072,490,0.64,9,9,0.82,40,196
10,TikTok,Traffic,0.049,2.83,0.89,0.021,275,0.89,0,2,0.31,15,113
11,Google,Conversions,0.019,0.88,2.41,0.036,496,0.71,15,2,0.85,32,222
12,TikTok,Conversions,0.05,0.96,2.51,0.115,334,0.65,6,4,0.79,48,146
13,Google,Awareness,0.011,0.6,1.24,0.097,222,0.79,6,4,0.97,42,120
14,TikTok,Awareness,0.03,1.09,2.0,0.036,62,0.65,4,7,0.71,34,55
15,TikTok,Traffic,0.022,0.78,2.01,0.086,408,0.88,6,7,0.21,15,160
16,TikTok,Conversions,0.02,2.07,1.74,0.11,101,0.92,0,3,0.79,14,70
17,Google,Traffic,0.02,2.09,0.83,0.086,330,0.88,4,6,0.28,18,135
18,TikTok,Traffic,0.03,0.96,1.46,0.111,110,0.92,6,5,0.94,27,89
19,TikTok,Awareness,0.021,1.35,2.55,0.081,221,0.71,11,7,0.65,49,121
20,Google,Conversions,0.039,0.79,2.6,0.099,95,0.65,3,1,0.48,46,64
21,Google,Conversions,0.02,1.76,1.29,0.059,423,0.59,0,0,0.56,41,155
22,Facebook,Traffic,0.014,1.23,2.62,0.091,343,0.85,0,3,0.63,21,137
